"totalPaticipant","winner","lost","totalOrder","totalOrderReject","valueEarning","WB","WB_after","Ham","Ham_after","Onion","Onion_after","Pickle","Pickle_after","Tuna","Tuna_after","Spread","Spread_after"
"0","0","0","0","0","0.0","100000.0","0.0","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","100000.0"
"10","10","0","1000","0","800.0","100000.0","0.0","100000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","94000.0"
"10","2","8","1000","810","152.0","16000.0","0.0","50000.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","94000.0","92860.0"
"10","0","10","1000","1000","0.0","40.0","0.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"10","0","10","1000","1000","0.0","40.0","0.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"10","0","10","1000","1000","0.0","40.0","0.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"10","0","10","1000","1000","0.0","40.0","0.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"10","10","0","1000","0","800.0","504040.0","0.0","340500.0","250500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","86860.0"
"10","10","0","1000","0","800.0","420040.0","0.0","250500.0","200500.0","0.0","0.0","0.0","0.0","0.0","0.0","86860.0","80860.0"
"10","10","0","1000","0","800.0","336040.0","0.0","200500.0","150500.0","0.0","0.0","0.0","0.0","0.0","0.0","80860.0","74860.0"
"10","10","0","1000","0","800.0","252040.0","0.0","150500.0","100500.0","0.0","0.0","0.0","0.0","0.0","0.0","74860.0","68860.0"
"10","10","0","1000","0","800.0","168040.0","0.0","100500.0","50500.0","0.0","0.0","0.0","0.0","0.0","0.0","68860.0","62860.0"
"10","10","0","1000","0","800.0","84040.0","0.0","50500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","62860.0","56860.0"
"10","0","10","1000","1000","0.0","40.0","0.0","500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","56860.0","56860.0"
"10","10","0","1000","0","800.0","588040.0","0.0","350500.0","300500.0","0.0","0.0","0.0","0.0","0.0","0.0","56860.0","50860.0"
"10","10","0","1000","0","800.0","504040.0","0.0","300500.0","250500.0","0.0","0.0","0.0","0.0","0.0","0.0","50860.0","44860.0"
"10","10","0","1000","0","800.0","420040.0","0.0","250500.0","200500.0","0.0","0.0","0.0","0.0","0.0","0.0","44860.0","38860.0"
"10","10","0","1000","0","800.0","336040.0","0.0","200500.0","150500.0","0.0","0.0","0.0","0.0","0.0","0.0","38860.0","32860.0"
"10","10","0","1000","0","800.0","252040.0","0.0","150500.0","100500.0","0.0","0.0","0.0","0.0","0.0","0.0","32860.0","26860.0"
"10","10","0","1000","0","800.0","168040.0","0.0","100500.0","50500.0","0.0","0.0","0.0","0.0","0.0","0.0","26860.0","20860.0"
"10","10","0","1000","0","800.0","84040.0","0.0","50500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","20860.0","14860.0"
"10","0","10","1000","1000","0.0","40.0","0.0","500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","14860.0","14860.0"
"10","0","10","1000","1000","0.0","40.0","0.0","500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","14860.0","14860.0"
"10","0","10","1000","1000","0.0","40.0","0.0","500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","14860.0","14860.0"
"10","0","10","1000","1000","0.0","40.0","0.0","500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","14860.0","14860.0"
"10","0","10","1000","1000","0.0","40.0","0.0","500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","14860.0","14860.0"
"10","0","10","1000","1000","0.0","40.0","0.0","500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","14860.0","14860.0"
"10","0","10","1000","1000","0.0","40.0","0.0","500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","14860.0","14860.0"
"10","10","0","1000","0","800.0","588040.0","0.0","350500.0","300500.0","0.0","0.0","0.0","0.0","0.0","0.0","14860.0","8860.0"
"10","10","0","1000","0","800.0","504040.0","0.0","300500.0","250500.0","0.0","0.0","0.0","0.0","0.0","0.0","8860.0","2860.0"
"10","5","5","1000","524","380.8","420040.0","0.0","250500.0","226700.0","0.0","0.0","0.0","0.0","0.0","0.0","2860.0","4.0"
