"totalPaticipant","winner","lost","totalOrder","totalOrderReject","valueEarning","WB","WB_after","Ham","Ham_after","Onion","Onion_after","Pickle","Pickle_after","Tuna","Tuna_after","Spread","Spread_after"
"0","0","0","0","0","0.0","100000.0","0.0","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","100000.0"
"5","5","0","500","0","400.0","100000.0","0.0","100000.0","75000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","97000.0"
"5","5","0","500","0","400.0","58000.0","0.0","75000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","97000.0","94000.0"
"5","2","3","500","310","152.0","16000.0","0.0","50000.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","94000.0","92860.0"
"5","0","5","500","500","0.0","40.0","0.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"5","0","5","500","500","0.0","40.0","0.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"5","0","5","500","500","0.0","40.0","0.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"5","5","0","500","0","400.0","252040.0","0.0","190500.0","140500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","89860.0"
"5","5","0","500","0","400.0","210040.0","0.0","140500.0","100500.0","0.0","0.0","0.0","0.0","0.0","0.0","89860.0","86860.0"
"5","5","0","500","0","400.0","168040.0","0.0","100500.0","75500.0","0.0","0.0","0.0","0.0","0.0","0.0","86860.0","83860.0"
"5","5","0","500","0","400.0","126040.0","0.0","75500.0","50500.0","0.0","0.0","0.0","0.0","0.0","0.0","83860.0","80860.0"
"5","5","0","500","0","400.0","84040.0","0.0","50500.0","25500.0","0.0","0.0","0.0","0.0","0.0","0.0","80860.0","77860.0"
"5","5","0","500","0","400.0","42040.0","0.0","25500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","77860.0","74860.0"
"5","0","5","500","500","0.0","40.0","0.0","500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","74860.0","74860.0"
"5","5","0","500","0","400.0","294040.0","0.0","175500.0","150500.0","0.0","0.0","0.0","0.0","0.0","0.0","74860.0","71860.0"
"5","5","0","500","0","400.0","252040.0","0.0","150500.0","125500.0","0.0","0.0","0.0","0.0","0.0","0.0","71860.0","68860.0"
"5","5","0","500","0","400.0","210040.0","0.0","125500.0","100500.0","0.0","0.0","0.0","0.0","0.0","0.0","68860.0","65860.0"
"5","5","0","500","0","400.0","168040.0","0.0","100500.0","75500.0","0.0","0.0","0.0","0.0","0.0","0.0","65860.0","62860.0"
"5","5","0","500","0","400.0","126040.0","0.0","75500.0","50500.0","0.0","0.0","0.0","0.0","0.0","0.0","62860.0","59860.0"
"5","5","0","500","0","400.0","84040.0","0.0","50500.0","25500.0","0.0","0.0","0.0","0.0","0.0","0.0","59860.0","56860.0"
"5","5","0","500","0","400.0","42040.0","0.0","25500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","56860.0","53860.0"
"5","0","5","500","500","0.0","40.0","0.0","500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","53860.0","53860.0"
"5","0","5","500","500","0.0","40.0","0.0","500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","53860.0","53860.0"
"5","0","5","500","500","0.0","40.0","0.0","500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","53860.0","53860.0"
"5","0","5","500","500","0.0","40.0","0.0","500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","53860.0","53860.0"
"5","0","5","500","500","0.0","40.0","0.0","500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","53860.0","53860.0"
"5","0","5","500","500","0.0","40.0","0.0","500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","53860.0","53860.0"
"5","0","5","500","500","0.0","40.0","0.0","500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","53860.0","53860.0"
"5","5","0","500","0","400.0","294040.0","0.0","175500.0","150500.0","0.0","0.0","0.0","0.0","0.0","0.0","53860.0","50860.0"
"5","5","0","500","0","400.0","252040.0","0.0","150500.0","125500.0","0.0","0.0","0.0","0.0","0.0","0.0","50860.0","47860.0"
"5","5","0","500","0","400.0","210040.0","0.0","125500.0","100500.0","0.0","0.0","0.0","0.0","0.0","0.0","47860.0","44860.0"
