"totalPaticipant","winner","lost","totalOrder","totalOrderReject","valueEarning","WB","WB_after","Ham","Ham_after","Onion","Onion_after","Pickle","Pickle_after","Tuna","Tuna_after","Spread","Spread_after"
"0","0","0","0","0","0.0","100000.0","0.0","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","100000.0"
"5","5","0","500","0","400.0","100000.0","0.0","100000.0","75000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","97000.0"
"5","5","0","500","0","400.0","58000.0","0.0","75000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","97000.0","94000.0"
"5","2","3","500","310","152.0","16000.0","0.0","50000.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","94000.0","92860.0"
"5","0","5","500","500","0.0","40.0","0.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"5","0","5","500","500","0.0","40.0","0.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"5","0","5","500","500","0.0","40.0","0.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"5","5","0","450","0","360.0","252040.0","0.0","190500.0","145500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","90160.0"
"5","5","0","450","0","360.0","214240.0","0.0","145500.0","105000.0","0.0","0.0","0.0","0.0","0.0","0.0","90160.0","87460.0"
"5","5","0","450","0","360.0","176440.0","0.0","105000.0","82500.0","0.0","0.0","0.0","0.0","0.0","0.0","87460.0","84760.0"
"5","5","0","450","0","360.0","138640.0","0.0","82500.0","60000.0","0.0","0.0","0.0","0.0","0.0","0.0","84760.0","82060.0"
"5","5","0","450","0","360.0","100840.0","0.0","60000.0","37500.0","0.0","0.0","0.0","0.0","0.0","0.0","82060.0","79360.0"
"5","5","0","450","0","360.0","63040.0","0.0","37500.0","15000.0","0.0","0.0","0.0","0.0","0.0","0.0","79360.0","76660.0"
"5","4","1","450","150","240.0","25240.0","0.0","15000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","76660.0","74860.0"
"5","5","0","400","0","320.0","264640.0","0.0","157500.0","137500.0","0.0","0.0","0.0","0.0","0.0","0.0","74860.0","72460.0"
"5","5","0","400","0","320.0","231040.0","0.0","137500.0","117500.0","0.0","0.0","0.0","0.0","0.0","0.0","72460.0","70060.0"
"5","5","0","400","0","320.0","197440.0","0.0","117500.0","97500.0","0.0","0.0","0.0","0.0","0.0","0.0","70060.0","67660.0"
"5","5","0","400","0","320.0","163840.0","0.0","97500.0","77500.0","0.0","0.0","0.0","0.0","0.0","0.0","67660.0","65260.0"
"5","5","0","400","0","320.0","130240.0","0.0","77500.0","57500.0","0.0","0.0","0.0","0.0","0.0","0.0","65260.0","62860.0"
"5","5","0","400","0","320.0","96640.0","0.0","57500.0","37500.0","0.0","0.0","0.0","0.0","0.0","0.0","62860.0","60460.0"
"5","5","0","400","0","320.0","63040.0","0.0","37500.0","17500.0","0.0","0.0","0.0","0.0","0.0","0.0","60460.0","58060.0"
"5","5","0","350","0","280.0","29440.0","0.0","17500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","58060.0","55960.0"
"5","0","5","350","350","0.0","40.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","55960.0","55960.0"
"5","0","5","350","350","0.0","40.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","55960.0","55960.0"
"5","0","5","350","350","0.0","40.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","55960.0","55960.0"
"5","0","5","350","350","0.0","40.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","55960.0","55960.0"
"5","0","5","350","350","0.0","40.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","55960.0","55960.0"
"5","0","5","350","350","0.0","40.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","55960.0","55960.0"
"5","5","0","300","0","240.0","205840.0","0.0","122500.0","107500.0","0.0","0.0","0.0","0.0","0.0","0.0","55960.0","54160.0"
"5","5","0","300","0","240.0","180640.0","0.0","107500.0","92500.0","0.0","0.0","0.0","0.0","0.0","0.0","54160.0","52360.0"
"5","5","0","300","0","240.0","155440.0","0.0","92500.0","77500.0","0.0","0.0","0.0","0.0","0.0","0.0","52360.0","50560.0"
