"totalPaticipant","winner","lost","totalOrder","totalOrderReject","valueEarning","WB","WB_after","Ham","Ham_after","Onion","Onion_after","Pickle","Pickle_after","Tuna","Tuna_after","Spread","Spread_after"
"0","0","0","0","0","0.0","100000.0","0.0","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","100000.0"
"2","2","0","200","0","160.0","100000.0","0.0","100000.0","90000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","98800.0"
"2","2","0","200","0","160.0","83200.0","0.0","90000.0","80000.0","0.0","0.0","0.0","0.0","0.0","0.0","98800.0","97600.0"
"2","2","0","200","0","160.0","66400.0","0.0","80000.0","70000.0","0.0","0.0","0.0","0.0","0.0","0.0","97600.0","96400.0"
"2","2","0","200","0","160.0","49600.0","0.0","70000.0","60000.0","0.0","0.0","0.0","0.0","0.0","0.0","96400.0","95200.0"
"2","2","0","200","0","160.0","32800.0","0.0","60000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","95200.0","94000.0"
"2","2","0","200","10","152.0","16000.0","0.0","50000.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","94000.0","92860.0"
"2","2","0","200","0","160.0","100840.0","0.0","40500.0","30500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","91660.0"
"2","2","0","200","0","160.0","84040.0","0.0","30500.0","20500.0","0.0","0.0","0.0","0.0","0.0","0.0","91660.0","90460.0"
"2","2","0","200","0","160.0","67240.0","0.0","20500.0","10500.0","0.0","0.0","0.0","0.0","0.0","0.0","90460.0","89260.0"
"2","2","0","200","0","160.0","50440.0","0.0","10500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","89260.0","88060.0"
"2","1","1","200","190","8.0","33640.0","0.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88060.0","88000.0"
"2","0","2","200","200","0.0","32800.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","0","2","200","200","0.0","32800.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","2","0","200","0","160.0","150400.0","0.0","70000.0","60000.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","86800.0"
"2","2","0","200","0","160.0","116800.0","0.0","60000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","86800.0","85600.0"
"2","2","0","200","0","160.0","91600.0","0.0","50000.0","40000.0","0.0","0.0","0.0","0.0","0.0","0.0","85600.0","84400.0"
"2","2","0","200","0","160.0","74800.0","0.0","40000.0","30000.0","0.0","0.0","0.0","0.0","0.0","0.0","84400.0","83200.0"
"2","2","0","200","0","160.0","58000.0","0.0","30000.0","20000.0","0.0","0.0","0.0","0.0","0.0","0.0","83200.0","82000.0"
"2","2","0","200","0","160.0","41200.0","0.0","20000.0","10000.0","0.0","0.0","0.0","0.0","0.0","0.0","82000.0","80800.0"
"2","2","0","200","0","160.0","24400.0","0.0","10000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","80800.0","79600.0"
"2","0","2","200","200","0.0","7600.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","79600.0","79600.0"
"2","0","2","200","200","0.0","7600.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","79600.0","79600.0"
"2","0","2","200","200","0.0","7600.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","79600.0","79600.0"
"2","0","2","200","200","0.0","7600.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","79600.0","79600.0"
"2","0","2","200","200","0.0","7600.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","79600.0","79600.0"
"2","0","2","200","200","0.0","7600.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","79600.0","79600.0"
"2","0","2","200","200","0.0","7600.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","79600.0","79600.0"
"2","2","0","200","0","160.0","125200.0","0.0","70000.0","60000.0","0.0","0.0","0.0","0.0","0.0","0.0","79600.0","78400.0"
"2","2","0","200","0","160.0","108400.0","0.0","60000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","78400.0","77200.0"
"2","2","0","200","0","160.0","91600.0","0.0","50000.0","40000.0","0.0","0.0","0.0","0.0","0.0","0.0","77200.0","76000.0"
