"totalPaticipant","winner","lost","totalOrder","totalOrderReject","valueEarning","WB","WB_after","Ham","Ham_after","Onion","Onion_after","Pickle","Pickle_after","Tuna","Tuna_after","Spread","Spread_after"
"0","0","0","0","0","0.0","100000.0","0.0","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","100000.0"
"2","2","0","200","0","160.0","100000.0","0.0","100000.0","90000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","98800.0"
"2","2","0","200","0","160.0","83200.0","0.0","90000.0","80000.0","0.0","0.0","0.0","0.0","0.0","0.0","98800.0","97600.0"
"2","2","0","200","0","160.0","66400.0","0.0","80000.0","70000.0","0.0","0.0","0.0","0.0","0.0","0.0","97600.0","96400.0"
"2","2","0","200","0","160.0","49600.0","0.0","70000.0","60000.0","0.0","0.0","0.0","0.0","0.0","0.0","96400.0","95200.0"
"2","2","0","200","0","160.0","32800.0","0.0","60000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","95200.0","94000.0"
"2","2","0","200","10","152.0","16000.0","0.0","50000.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","94000.0","92860.0"
"2","2","0","180","0","144.0","100840.0","0.0","40500.0","31500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","91780.0"
"2","2","0","180","0","144.0","85720.0","0.0","31500.0","22500.0","0.0","0.0","0.0","0.0","0.0","0.0","91780.0","90700.0"
"2","2","0","180","0","144.0","70600.0","0.0","22500.0","13500.0","0.0","0.0","0.0","0.0","0.0","0.0","90700.0","89620.0"
"2","2","0","180","0","144.0","55480.0","0.0","13500.0","4500.0","0.0","0.0","0.0","0.0","0.0","0.0","89620.0","88540.0"
"2","1","1","180","90","72.0","40360.0","0.0","4500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88540.0","88000.0"
"2","0","2","180","180","0.0","32800.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","0","2","180","180","0.0","32800.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","2","0","160","0","128.0","138640.0","0.0","63000.0","55000.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","87040.0"
"2","2","0","160","0","128.0","111760.0","0.0","55000.0","47000.0","0.0","0.0","0.0","0.0","0.0","0.0","87040.0","86080.0"
"2","2","0","160","0","128.0","84880.0","0.0","47000.0","39000.0","0.0","0.0","0.0","0.0","0.0","0.0","86080.0","85120.0"
"2","2","0","160","0","128.0","71440.0","0.0","39000.0","31000.0","0.0","0.0","0.0","0.0","0.0","0.0","85120.0","84160.0"
"2","2","0","160","0","128.0","58000.0","0.0","31000.0","23000.0","0.0","0.0","0.0","0.0","0.0","0.0","84160.0","83200.0"
"2","2","0","160","0","128.0","44560.0","0.0","23000.0","15000.0","0.0","0.0","0.0","0.0","0.0","0.0","83200.0","82240.0"
"2","2","0","160","0","128.0","31120.0","0.0","15000.0","7000.0","0.0","0.0","0.0","0.0","0.0","0.0","82240.0","81280.0"
"2","2","0","140","0","112.0","17680.0","0.0","7000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","81280.0","80440.0"
"2","0","2","140","140","0.0","5920.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","80440.0","80440.0"
"2","0","2","140","140","0.0","5920.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","80440.0","80440.0"
"2","0","2","140","140","0.0","5920.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","80440.0","80440.0"
"2","0","2","140","140","0.0","5920.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","80440.0","80440.0"
"2","0","2","140","140","0.0","5920.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","80440.0","80440.0"
"2","0","2","140","140","0.0","5920.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","80440.0","80440.0"
"2","2","0","120","0","96.0","88240.0","0.0","49000.0","43000.0","0.0","0.0","0.0","0.0","0.0","0.0","80440.0","79720.0"
"2","2","0","120","0","96.0","73120.0","0.0","43000.0","37000.0","0.0","0.0","0.0","0.0","0.0","0.0","79720.0","79000.0"
"2","2","0","120","0","96.0","63040.0","0.0","37000.0","31000.0","0.0","0.0","0.0","0.0","0.0","0.0","79000.0","78280.0"
