"totalPaticipant","winner","lost","totalOrder","totalOrderReject","valueEarning","WB","WB_after","Ham","Ham_after","Onion","Onion_after","Pickle","Pickle_after","Tuna","Tuna_after","Spread","Spread_after"
"0","0","0","0","0","0.0","100000.0","0.0","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","100000.0"
"2","2","0","200","0","160.0","100000.0","0.0","100000.0","90000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","98800.0"
"2","2","0","200","0","160.0","83200.0","0.0","90000.0","80000.0","0.0","0.0","0.0","0.0","0.0","0.0","98800.0","97600.0"
"2","2","0","200","0","160.0","66400.0","0.0","80000.0","70000.0","0.0","0.0","0.0","0.0","0.0","0.0","97600.0","96400.0"
"2","2","0","200","0","160.0","49600.0","0.0","70000.0","60000.0","0.0","0.0","0.0","0.0","0.0","0.0","96400.0","95200.0"
"2","2","0","200","0","160.0","32800.0","0.0","60000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","95200.0","94000.0"
"2","2","0","200","10","152.0","16000.0","0.0","50000.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","94000.0","92860.0"
"2","2","0","220","0","176.0","100840.0","0.0","40500.0","29500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","91540.0"
"2","2","0","220","0","176.0","82360.0","0.0","29500.0","18500.0","0.0","0.0","0.0","0.0","0.0","0.0","91540.0","90220.0"
"2","2","0","220","0","176.0","63880.0","0.0","18500.0","7500.0","0.0","0.0","0.0","0.0","0.0","0.0","90220.0","88900.0"
"2","2","0","220","70","120.0","45400.0","0.0","7500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88900.0","88000.0"
"2","0","2","220","220","0.0","32800.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","0","2","220","220","0.0","32800.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","0","2","220","220","0.0","32800.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","2","0","240","0","192.0","162160.0","0.0","77000.0","65000.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","86560.0"
"2","2","0","240","0","192.0","121840.0","0.0","65000.0","53000.0","0.0","0.0","0.0","0.0","0.0","0.0","86560.0","85120.0"
"2","2","0","240","0","192.0","91600.0","0.0","53000.0","41000.0","0.0","0.0","0.0","0.0","0.0","0.0","85120.0","83680.0"
"2","2","0","240","0","192.0","71440.0","0.0","41000.0","29000.0","0.0","0.0","0.0","0.0","0.0","0.0","83680.0","82240.0"
"2","2","0","240","0","192.0","51280.0","0.0","29000.0","17000.0","0.0","0.0","0.0","0.0","0.0","0.0","82240.0","80800.0"
"2","2","0","240","0","192.0","31120.0","0.0","17000.0","5000.0","0.0","0.0","0.0","0.0","0.0","0.0","80800.0","79360.0"
"2","1","1","240","140","80.0","10960.0","0.0","5000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","79360.0","78760.0"
"2","2","0","260","0","208.0","143680.0","0.0","84000.0","71000.0","0.0","0.0","0.0","0.0","0.0","0.0","78760.0","77200.0"
"2","2","0","260","0","208.0","121840.0","0.0","71000.0","58000.0","0.0","0.0","0.0","0.0","0.0","0.0","77200.0","75640.0"
"2","2","0","260","0","208.0","100000.0","0.0","58000.0","45000.0","0.0","0.0","0.0","0.0","0.0","0.0","75640.0","74080.0"
"2","2","0","260","0","208.0","78160.0","0.0","45000.0","32000.0","0.0","0.0","0.0","0.0","0.0","0.0","74080.0","72520.0"
"2","2","0","260","0","208.0","56320.0","0.0","32000.0","19000.0","0.0","0.0","0.0","0.0","0.0","0.0","72520.0","70960.0"
"2","2","0","260","0","208.0","34480.0","0.0","19000.0","6000.0","0.0","0.0","0.0","0.0","0.0","0.0","70960.0","69400.0"
"2","1","1","260","140","96.0","12640.0","0.0","6000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","69400.0","68680.0"
"2","2","0","280","0","224.0","155440.0","0.0","91000.0","77000.0","0.0","0.0","0.0","0.0","0.0","0.0","68680.0","67000.0"
"2","2","0","280","0","224.0","131920.0","0.0","77000.0","63000.0","0.0","0.0","0.0","0.0","0.0","0.0","67000.0","65320.0"
"2","2","0","280","0","224.0","108400.0","0.0","63000.0","49000.0","0.0","0.0","0.0","0.0","0.0","0.0","65320.0","63640.0"
