"totalPaticipant","winner","lost","totalOrder","totalOrderReject","valueEarning","WB","WB_after","Ham","Ham_after","Onion","Onion_after","Pickle","Pickle_after","Tuna","Tuna_after","Spread","Spread_after"
"0","0","0","0","0","0.0","150000.0","0.0","150000.0","150000.0","0.0","0.0","0.0","0.0","0.0","0.0","150000.0","150000.0"
"10","10","0","1000","0","800.0","150000.0","0.0","150000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","150000.0","144000.0"
"10","8","2","1000","215","628.0","66000.0","0.0","100000.0","60750.0","0.0","0.0","0.0","0.0","0.0","0.0","144000.0","139290.0"
"10","0","10","1000","1000","0.0","60.0","0.0","60750.0","60750.0","0.0","0.0","0.0","0.0","0.0","0.0","139290.0","139290.0"
"10","0","10","1000","1000","0.0","60.0","0.0","60750.0","60750.0","0.0","0.0","0.0","0.0","0.0","0.0","139290.0","139290.0"
"10","0","10","1000","1000","0.0","60.0","0.0","60750.0","60750.0","0.0","0.0","0.0","0.0","0.0","0.0","139290.0","139290.0"
"10","0","10","1000","1000","0.0","60.0","0.0","60750.0","60750.0","0.0","0.0","0.0","0.0","0.0","0.0","139290.0","139290.0"
"10","10","0","900","0","720.0","504060.0","0.0","360750.0","270750.0","0.0","0.0","0.0","0.0","0.0","0.0","139290.0","133890.0"
"10","10","0","900","0","720.0","428460.0","0.0","270750.0","212250.0","0.0","0.0","0.0","0.0","0.0","0.0","133890.0","128490.0"
"10","10","0","900","0","720.0","352860.0","0.0","212250.0","167250.0","0.0","0.0","0.0","0.0","0.0","0.0","128490.0","123090.0"
"10","10","0","900","0","720.0","277260.0","0.0","167250.0","122250.0","0.0","0.0","0.0","0.0","0.0","0.0","123090.0","117690.0"
"10","10","0","900","0","720.0","201660.0","0.0","122250.0","77250.0","0.0","0.0","0.0","0.0","0.0","0.0","117690.0","112290.0"
"10","10","0","900","0","720.0","126060.0","0.0","77250.0","32250.0","0.0","0.0","0.0","0.0","0.0","0.0","112290.0","106890.0"
"10","7","3","900","300","480.0","50460.0","0.0","32250.0","2250.0","0.0","0.0","0.0","0.0","0.0","0.0","106890.0","103290.0"
"10","10","0","800","0","640.0","529260.0","0.0","317250.0","277250.0","0.0","0.0","0.0","0.0","0.0","0.0","103290.0","98490.0"
"10","10","0","800","0","640.0","462060.0","0.0","277250.0","237250.0","0.0","0.0","0.0","0.0","0.0","0.0","98490.0","93690.0"
"10","10","0","800","0","640.0","394860.0","0.0","237250.0","197250.0","0.0","0.0","0.0","0.0","0.0","0.0","93690.0","88890.0"
"10","10","0","800","0","640.0","327660.0","0.0","197250.0","157250.0","0.0","0.0","0.0","0.0","0.0","0.0","88890.0","84090.0"
"10","10","0","800","0","640.0","260460.0","0.0","157250.0","117250.0","0.0","0.0","0.0","0.0","0.0","0.0","84090.0","79290.0"
"10","10","0","800","0","640.0","193260.0","0.0","117250.0","77250.0","0.0","0.0","0.0","0.0","0.0","0.0","79290.0","74490.0"
"10","10","0","800","0","640.0","126060.0","0.0","77250.0","37250.0","0.0","0.0","0.0","0.0","0.0","0.0","74490.0","69690.0"
"10","10","0","700","0","560.0","58860.0","0.0","37250.0","2250.0","0.0","0.0","0.0","0.0","0.0","0.0","69690.0","65490.0"
"10","0","10","700","700","0.0","60.0","0.0","2250.0","2250.0","0.0","0.0","0.0","0.0","0.0","0.0","65490.0","65490.0"
"10","0","10","700","700","0.0","60.0","0.0","2250.0","2250.0","0.0","0.0","0.0","0.0","0.0","0.0","65490.0","65490.0"
"10","0","10","700","700","0.0","60.0","0.0","2250.0","2250.0","0.0","0.0","0.0","0.0","0.0","0.0","65490.0","65490.0"
"10","0","10","700","700","0.0","60.0","0.0","2250.0","2250.0","0.0","0.0","0.0","0.0","0.0","0.0","65490.0","65490.0"
"10","0","10","700","700","0.0","60.0","0.0","2250.0","2250.0","0.0","0.0","0.0","0.0","0.0","0.0","65490.0","65490.0"
"10","0","10","700","700","0.0","60.0","0.0","2250.0","2250.0","0.0","0.0","0.0","0.0","0.0","0.0","65490.0","65490.0"
"10","10","0","600","0","480.0","411660.0","0.0","247250.0","217250.0","0.0","0.0","0.0","0.0","0.0","0.0","65490.0","61890.0"
"10","10","0","600","0","480.0","361260.0","0.0","217250.0","187250.0","0.0","0.0","0.0","0.0","0.0","0.0","61890.0","58290.0"
"10","10","0","600","0","480.0","310860.0","0.0","187250.0","157250.0","0.0","0.0","0.0","0.0","0.0","0.0","58290.0","54690.0"
