"totalPaticipant","winner","lost","totalOrder","totalOrderReject","valueEarning","WB","WB_after","Ham","Ham_after","Onion","Onion_after","Pickle","Pickle_after","Tuna","Tuna_after","Spread","Spread_after"
"0","0","0","0","0","0.0","50000.0","0.0","50000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","50000.0","50000.0"
"5","5","0","500","0","400.0","50000.0","0.0","50000.0","25000.0","0.0","0.0","0.0","0.0","0.0","0.0","50000.0","47000.0"
"5","1","4","500","405","76.0","8000.0","0.0","25000.0","20250.0","0.0","0.0","0.0","0.0","0.0","0.0","47000.0","46430.0"
"5","0","5","500","500","0.0","20.0","0.0","20250.0","20250.0","0.0","0.0","0.0","0.0","0.0","0.0","46430.0","46430.0"
"5","0","5","500","500","0.0","20.0","0.0","20250.0","20250.0","0.0","0.0","0.0","0.0","0.0","0.0","46430.0","46430.0"
"5","0","5","500","500","0.0","20.0","0.0","20250.0","20250.0","0.0","0.0","0.0","0.0","0.0","0.0","46430.0","46430.0"
"5","0","5","500","500","0.0","20.0","0.0","20250.0","20250.0","0.0","0.0","0.0","0.0","0.0","0.0","46430.0","46430.0"
"5","5","0","550","0","440.0","252020.0","0.0","170250.0","126250.0","0.0","0.0","0.0","0.0","0.0","0.0","46430.0","43130.0"
"5","5","0","550","0","440.0","205820.0","0.0","126250.0","98750.0","0.0","0.0","0.0","0.0","0.0","0.0","43130.0","39830.0"
"5","5","0","550","0","440.0","159620.0","0.0","98750.0","71250.0","0.0","0.0","0.0","0.0","0.0","0.0","39830.0","36530.0"
"5","5","0","550","0","440.0","113420.0","0.0","71250.0","43750.0","0.0","0.0","0.0","0.0","0.0","0.0","36530.0","33230.0"
"5","5","0","550","0","440.0","67220.0","0.0","43750.0","16250.0","0.0","0.0","0.0","0.0","0.0","0.0","33230.0","29930.0"
"5","3","2","550","300","200.0","21020.0","0.0","16250.0","3750.0","0.0","0.0","0.0","0.0","0.0","0.0","29930.0","28430.0"
"5","0","5","550","550","0.0","20.0","0.0","3750.0","3750.0","0.0","0.0","0.0","0.0","0.0","0.0","28430.0","28430.0"
"5","5","0","600","0","480.0","323420.0","0.0","196250.0","166250.0","0.0","0.0","0.0","0.0","0.0","0.0","28430.0","24830.0"
"5","5","0","600","0","480.0","273020.0","0.0","166250.0","136250.0","0.0","0.0","0.0","0.0","0.0","0.0","24830.0","21230.0"
"5","5","0","600","0","480.0","222620.0","0.0","136250.0","106250.0","0.0","0.0","0.0","0.0","0.0","0.0","21230.0","17630.0"
"5","5","0","600","0","480.0","172220.0","0.0","106250.0","76250.0","0.0","0.0","0.0","0.0","0.0","0.0","17630.0","14030.0"
"5","5","0","600","0","480.0","121820.0","0.0","76250.0","46250.0","0.0","0.0","0.0","0.0","0.0","0.0","14030.0","10430.0"
"5","5","0","600","0","480.0","71420.0","0.0","46250.0","16250.0","0.0","0.0","0.0","0.0","0.0","0.0","10430.0","6830.0"
"5","3","2","600","350","200.0","21020.0","0.0","16250.0","3750.0","0.0","0.0","0.0","0.0","0.0","0.0","6830.0","5330.0"
"5","5","0","650","0","520.0","352820.0","0.0","213750.0","181250.0","0.0","0.0","0.0","0.0","0.0","0.0","5330.0","1430.0"
"5","2","3","650","412","190.4","298220.0","0.0","181250.0","169350.0","0.0","0.0","0.0","0.0","0.0","0.0","1430.0","2.0"
"5","0","5","650","650","0.0","278228.0","0.0","169350.0","169350.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"5","0","5","650","650","0.0","278228.0","0.0","169350.0","169350.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"5","0","5","650","650","0.0","278228.0","0.0","169350.0","169350.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"5","0","5","650","650","0.0","278228.0","0.0","169350.0","169350.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"5","0","5","650","650","0.0","278228.0","0.0","169350.0","169350.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"5","0","5","700","700","0.0","660428.0","0.0","396850.0","396850.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"5","0","5","700","700","0.0","660428.0","0.0","396850.0","396850.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"5","0","5","700","700","0.0","660428.0","0.0","396850.0","396850.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
