"totalPaticipant","winner","lost","totalOrder","totalOrderReject","valueEarning","WB","WB_after","Ham","Ham_after","Onion","Onion_after","Pickle","Pickle_after","Tuna","Tuna_after","Spread","Spread_after"
"0","0","0","0","0","0.0","50000.0","0.0","50000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","50000.0","50000.0"
"5","5","0","550","0","440.0","50000.0","0.0","50000.0","22500.0","0.0","0.0","0.0","0.0","0.0","0.0","50000.0","46700.0"
"5","1","4","600","555","36.0","3800.0","0.0","22500.0","20250.0","0.0","0.0","0.0","0.0","0.0","0.0","46700.0","46430.0"
"5","0","5","650","650","0.0","20.0","0.0","20250.0","20250.0","0.0","0.0","0.0","0.0","0.0","0.0","46430.0","46430.0"
"5","0","5","750","750","0.0","20.0","0.0","20250.0","20250.0","0.0","0.0","0.0","0.0","0.0","0.0","46430.0","46430.0"
"5","0","5","800","800","0.0","20.0","0.0","20250.0","20250.0","0.0","0.0","0.0","0.0","0.0","0.0","46430.0","46430.0"
"5","5","0","850","0","680.0","340220.0","0.0","222750.0","163250.0","0.0","0.0","0.0","0.0","0.0","0.0","46430.0","41330.0"
"5","5","0","900","0","720.0","268820.0","0.0","163250.0","118250.0","0.0","0.0","0.0","0.0","0.0","0.0","41330.0","35930.0"
"5","5","0","950","0","760.0","193220.0","0.0","118250.0","70750.0","0.0","0.0","0.0","0.0","0.0","0.0","35930.0","30230.0"
"5","5","0","1000","0","800.0","113420.0","0.0","70750.0","20750.0","0.0","0.0","0.0","0.0","0.0","0.0","30230.0","24230.0"
"5","2","3","1050","700","280.0","29420.0","0.0","20750.0","3250.0","0.0","0.0","0.0","0.0","0.0","0.0","24230.0","22130.0"
"5","0","5","1100","1100","0.0","20.0","0.0","3250.0","3250.0","0.0","0.0","0.0","0.0","0.0","0.0","22130.0","22130.0"
"5","0","5","1150","1150","0.0","20.0","0.0","3250.0","3250.0","0.0","0.0","0.0","0.0","0.0","0.0","22130.0","22130.0"
"5","5","0","1200","0","960.0","588020.0","0.0","353250.0","293250.0","0.0","0.0","0.0","0.0","0.0","0.0","22130.0","14930.0"
"5","5","0","1250","0","1000.0","487220.0","0.0","293250.0","230750.0","0.0","0.0","0.0","0.0","0.0","0.0","14930.0","7430.0"
"5","5","0","1300","62","990.4","382220.0","0.0","230750.0","168850.0","0.0","0.0","0.0","0.0","0.0","0.0","7430.0","2.0"
"5","0","5","1350","1350","0.0","278228.0","0.0","168850.0","168850.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"5","0","5","1400","1400","0.0","278228.0","0.0","168850.0","168850.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"5","0","5","1450","1450","0.0","278228.0","0.0","168850.0","168850.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"5","0","5","1500","1500","0.0","278228.0","0.0","168850.0","168850.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"5","0","5","1550","1550","0.0","1072028.0","0.0","641350.0","641350.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"5","0","5","1600","1600","0.0","1072028.0","0.0","641350.0","641350.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"5","0","5","1650","1650","0.0","1072028.0","0.0","641350.0","641350.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"5","0","5","1700","1700","0.0","1072028.0","0.0","641350.0","641350.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"5","0","5","1750","1750","0.0","1072028.0","0.0","641350.0","641350.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"5","0","5","1800","1800","0.0","1072028.0","0.0","641350.0","641350.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"5","0","5","1850","1850","0.0","1072028.0","0.0","641350.0","641350.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"5","0","5","1900","1900","0.0","2071628.0","0.0","1236350.0","1236350.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"5","0","5","1950","1950","0.0","2071628.0","0.0","1236350.0","1236350.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"5","0","5","2000","2000","0.0","2071628.0","0.0","1236350.0","1236350.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
