"totalPaticipant","winner","lost","totalOrder","totalOrderReject","valueEarning","WB","WB_after","Ham","Ham_after","Onion","Onion_after","Pickle","Pickle_after","Tuna","Tuna_after","Spread","Spread_after"
"0","0","0","0","0","0.0","50000.0","0.0","50000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","50000.0","50000.0"
"2","2","0","220","0","176.0","50000.0","0.0","50000.0","39000.0","0.0","0.0","0.0","0.0","0.0","0.0","50000.0","48680.0"
"2","2","0","240","0","192.0","31520.0","0.0","39000.0","27000.0","0.0","0.0","0.0","0.0","0.0","0.0","48680.0","47240.0"
"2","2","0","260","125","108.0","11360.0","0.0","27000.0","20250.0","0.0","0.0","0.0","0.0","0.0","0.0","47240.0","46430.0"
"2","0","2","280","280","0.0","20.0","0.0","20250.0","20250.0","0.0","0.0","0.0","0.0","0.0","0.0","46430.0","46430.0"
"2","0","2","300","300","0.0","20.0","0.0","20250.0","20250.0","0.0","0.0","0.0","0.0","0.0","0.0","46430.0","46430.0"
"2","0","2","320","320","0.0","20.0","0.0","20250.0","20250.0","0.0","0.0","0.0","0.0","0.0","0.0","46430.0","46430.0"
"2","2","0","340","0","272.0","136100.0","0.0","101250.0","67250.0","0.0","0.0","0.0","0.0","0.0","0.0","46430.0","44390.0"
"2","2","0","360","0","288.0","107540.0","0.0","67250.0","49250.0","0.0","0.0","0.0","0.0","0.0","0.0","44390.0","42230.0"
"2","2","0","380","0","304.0","77300.0","0.0","49250.0","30250.0","0.0","0.0","0.0","0.0","0.0","0.0","42230.0","39950.0"
"2","2","0","400","0","320.0","45380.0","0.0","30250.0","10250.0","0.0","0.0","0.0","0.0","0.0","0.0","39950.0","37550.0"
"2","1","1","420","280","112.0","11780.0","0.0","10250.0","3250.0","0.0","0.0","0.0","0.0","0.0","0.0","37550.0","36710.0"
"2","0","2","440","440","0.0","20.0","0.0","3250.0","3250.0","0.0","0.0","0.0","0.0","0.0","0.0","36710.0","36710.0"
"2","0","2","460","460","0.0","20.0","0.0","3250.0","3250.0","0.0","0.0","0.0","0.0","0.0","0.0","36710.0","36710.0"
"2","2","0","480","0","384.0","235220.0","0.0","143250.0","119250.0","0.0","0.0","0.0","0.0","0.0","0.0","36710.0","33830.0"
"2","2","0","500","0","400.0","194900.0","0.0","119250.0","94250.0","0.0","0.0","0.0","0.0","0.0","0.0","33830.0","30830.0"
"2","2","0","520","0","416.0","152900.0","0.0","94250.0","68250.0","0.0","0.0","0.0","0.0","0.0","0.0","30830.0","27710.0"
"2","2","0","540","0","432.0","109220.0","0.0","68250.0","41250.0","0.0","0.0","0.0","0.0","0.0","0.0","27710.0","24470.0"
"2","2","0","560","0","448.0","63860.0","0.0","41250.0","13250.0","0.0","0.0","0.0","0.0","0.0","0.0","24470.0","21110.0"
"2","1","1","580","380","160.0","16820.0","0.0","13250.0","3250.0","0.0","0.0","0.0","0.0","0.0","0.0","21110.0","19910.0"
"2","0","2","600","600","0.0","20.0","0.0","3250.0","3250.0","0.0","0.0","0.0","0.0","0.0","0.0","19910.0","19910.0"
"2","2","0","620","0","496.0","317540.0","0.0","192250.0","161250.0","0.0","0.0","0.0","0.0","0.0","0.0","19910.0","16190.0"
"2","2","0","640","0","512.0","265460.0","0.0","161250.0","129250.0","0.0","0.0","0.0","0.0","0.0","0.0","16190.0","12350.0"
"2","2","0","660","0","528.0","211700.0","0.0","129250.0","96250.0","0.0","0.0","0.0","0.0","0.0","0.0","12350.0","8390.0"
"2","2","0","680","0","544.0","156260.0","0.0","96250.0","62250.0","0.0","0.0","0.0","0.0","0.0","0.0","8390.0","4310.0"
"2","2","0","700","0","560.0","99140.0","0.0","62250.0","27250.0","0.0","0.0","0.0","0.0","0.0","0.0","4310.0","110.0"
"2","1","1","720","702","14.4","40340.0","0.0","27250.0","26350.0","0.0","0.0","0.0","0.0","0.0","0.0","110.0","2.0"
"2","0","2","740","740","0.0","38828.0","0.0","26350.0","26350.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"2","0","2","760","760","0.0","438668.0","0.0","264350.0","264350.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"2","0","2","780","780","0.0","438668.0","0.0","264350.0","264350.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
"2","0","2","800","800","0.0","438668.0","0.0","264350.0","264350.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0"
