"totalPaticipant","totalOrder","totalOrderAccept","totalOrderReject","WB","WB_after","Ham","Ham_after","Onion","Onion_after","Pickle","Pickle_after","Tuna","Tuna_after","Spread","Spread_after"
"0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","1000","1000","0","100000.0","16000.0","100000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","94000.0"
"10","1000","190","810","16000.0","40.0","50000.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","94000.0","92860.0"
"10","1000","0","1000","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"10","1000","0","1000","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"10","1000","0","1000","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"10","1000","0","1000","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"10","900","0","900","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"10","900","900","0","100040.0","24440.0","140500.0","55000.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","87460.0"
"10","900","290","610","24440.0","80.0","55000.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","87460.0","85720.0"
"10","900","0","900","80.0","80.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","900","0","900","80.0","80.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","900","0","900","80.0","80.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","900","0","900","80.0","80.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","800","0","800","80.0","80.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","800","800","0","420040.0","352840.0","250000.0","170000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","80920.0"
"10","800","800","0","352840.0","285640.0","170000.0","130000.0","0.0","0.0","0.0","0.0","0.0","0.0","80920.0","76120.0"
"10","800","800","0","285640.0","218440.0","130000.0","90000.0","0.0","0.0","0.0","0.0","0.0","0.0","76120.0","71320.0"
"10","800","800","0","218440.0","151240.0","90000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","71320.0","66520.0"
"10","800","800","0","151240.0","84040.0","50000.0","10000.0","0.0","0.0","0.0","0.0","0.0","0.0","66520.0","61720.0"
"10","800","200","600","84040.0","67240.0","10000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","61720.0","60520.0"
"10","700","0","700","67240.0","67240.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","60520.0","60520.0"
"10","700","700","0","604760.0","487160.0","279500.0","244500.0","0.0","0.0","0.0","0.0","0.0","0.0","60520.0","56320.0"
"10","700","700","0","487160.0","422480.0","244500.0","209500.0","0.0","0.0","0.0","0.0","0.0","0.0","56320.0","52120.0"
"10","700","700","0","422480.0","363680.0","209500.0","174500.0","0.0","0.0","0.0","0.0","0.0","0.0","52120.0","47920.0"
"10","700","700","0","363680.0","304880.0","174500.0","139500.0","0.0","0.0","0.0","0.0","0.0","0.0","47920.0","43720.0"
"10","700","700","0","304880.0","246080.0","139500.0","104500.0","0.0","0.0","0.0","0.0","0.0","0.0","43720.0","39520.0"
"10","700","700","0","246080.0","187280.0","104500.0","69500.0","0.0","0.0","0.0","0.0","0.0","0.0","39520.0","35320.0"
"10","600","600","0","187280.0","136880.0","69500.0","39500.0","0.0","0.0","0.0","0.0","0.0","0.0","35320.0","31720.0"
"10","600","600","0","531640.0","430840.0","314500.0","254500.0","0.0","0.0","0.0","0.0","0.0","0.0","31720.0","28120.0"
"10","600","600","0","430840.0","330040.0","254500.0","215500.0","0.0","0.0","0.0","0.0","0.0","0.0","28120.0","24520.0"
"10","600","600","0","330040.0","244360.0","215500.0","185500.0","0.0","0.0","0.0","0.0","0.0","0.0","24520.0","20920.0"
"10","600","600","0","244360.0","193960.0","185500.0","155500.0","0.0","0.0","0.0","0.0","0.0","0.0","20920.0","17320.0"
"10","600","600","0","193960.0","143560.0","155500.0","125500.0","0.0","0.0","0.0","0.0","0.0","0.0","17320.0","13720.0"
"10","600","600","0","143560.0","93160.0","125500.0","95500.0","0.0","0.0","0.0","0.0","0.0","0.0","13720.0","10120.0"
"10","500","500","0","93160.0","51160.0","95500.0","70500.0","0.0","0.0","0.0","0.0","0.0","0.0","10120.0","7120.0"
"10","500","500","0","225080.0","141080.0","216000.0","166000.0","0.0","0.0","0.0","0.0","0.0","0.0","7120.0","4120.0"
"10","500","500","0","141080.0","90680.0","166000.0","116000.0","0.0","0.0","0.0","0.0","0.0","0.0","4120.0","1120.0"
"10","500","186","314","90680.0","75056.0","116000.0","97400.0","0.0","0.0","0.0","0.0","0.0","0.0","1120.0","4.0"
"10","500","0","500","75056.0","75056.0","97400.0","97400.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","4.0"
"10","500","0","500","75056.0","75056.0","97400.0","97400.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","4.0"
"10","500","0","500","75056.0","75056.0","97400.0","97400.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","4.0"
"10","1000","0","1000","75056.0","75056.0","97400.0","97400.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","4.0"
"10","1000","1000","0","292696.0","141496.0","186900.0","78100.0","0.0","0.0","0.0","0.0","0.0","0.0","12084.0","6084.0"
"10","1000","862","138","141496.0","69088.0","78100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6084.0","912.0"
"10","1000","0","1000","69088.0","69088.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","912.0","912.0"
"10","1000","0","1000","69088.0","69088.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","912.0","912.0"
"10","1000","0","1000","69088.0","69088.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","912.0","912.0"
"10","1000","0","1000","69088.0","69088.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","912.0","912.0"
"10","900","0","900","69088.0","69088.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","912.0","912.0"
"10","900","900","0","296432.0","152792.0","82600.0","37600.0","0.0","0.0","0.0","0.0","0.0","0.0","22508.0","16568.0"
"10","900","752","148","152792.0","89624.0","37600.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16568.0","12056.0"
"10","900","0","900","89624.0","89624.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12056.0","12056.0"
"10","900","0","900","89624.0","89624.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12056.0","12056.0"
"10","900","0","900","89624.0","89624.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12056.0","12056.0"
"10","900","0","900","89624.0","89624.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12056.0","12056.0"
"10","800","0","800","89624.0","89624.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12056.0","12056.0"
"10","800","800","0","566536.0","432136.0","325000.0","285000.0","0.0","0.0","0.0","0.0","0.0","0.0","50144.0","40544.0"
"10","800","800","0","432136.0","344776.0","285000.0","245000.0","0.0","0.0","0.0","0.0","0.0","0.0","40544.0","30944.0"
"10","800","800","0","344776.0","277576.0","245000.0","205000.0","0.0","0.0","0.0","0.0","0.0","0.0","30944.0","23744.0"
