"totalPaticipant","totalOrder","totalOrderAccept","totalOrderReject","WB","WB_after","Ham","Ham_after","Onion","Onion_after","Pickle","Pickle_after","Tuna","Tuna_after","Spread","Spread_after"
"0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","1000","1000","0","100000.0","16000.0","100000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","94000.0"
"10","1000","190","810","16000.0","40.0","50000.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","94000.0","92860.0"
"10","1000","0","1000","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"10","1000","0","1000","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"10","1000","0","1000","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"10","1000","0","1000","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"10","1100","0","1100","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"10","1100","1100","0","100040.0","7640.0","140500.0","47000.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","86260.0"
"10","1100","90","1010","7640.0","80.0","47000.0","42500.0","0.0","0.0","0.0","0.0","0.0","0.0","86260.0","85720.0"
"10","1100","0","1100","80.0","80.0","42500.0","42500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1100","0","1100","80.0","80.0","42500.0","42500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1100","0","1100","80.0","80.0","42500.0","42500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1100","0","1100","80.0","80.0","42500.0","42500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1200","0","1200","80.0","80.0","42500.0","42500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1200","0","1200","80.0","80.0","42500.0","42500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1200","0","1200","80.0","80.0","42500.0","42500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1200","0","1200","80.0","80.0","42500.0","42500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1200","0","1200","80.0","80.0","42500.0","42500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1200","0","1200","80.0","80.0","42500.0","42500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1200","0","1200","80.0","80.0","42500.0","42500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1300","0","1300","80.0","80.0","42500.0","42500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1300","1300","0","638400.0","529200.0","380000.0","276000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","77920.0"
"10","1300","1300","0","529200.0","420000.0","276000.0","211000.0","0.0","0.0","0.0","0.0","0.0","0.0","77920.0","70120.0"
"10","1300","1300","0","420000.0","310800.0","211000.0","146000.0","0.0","0.0","0.0","0.0","0.0","0.0","70120.0","62320.0"
"10","1300","1300","0","310800.0","201600.0","146000.0","81000.0","0.0","0.0","0.0","0.0","0.0","0.0","62320.0","54520.0"
"10","1300","1300","0","201600.0","92400.0","81000.0","16000.0","0.0","0.0","0.0","0.0","0.0","0.0","54520.0","46720.0"
"10","1300","320","980","92400.0","65520.0","16000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","46720.0","44800.0"
"10","1400","0","1400","65520.0","65520.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","44800.0","44800.0"
"10","1400","1400","0","762640.0","586240.0","372500.0","302500.0","0.0","0.0","0.0","0.0","0.0","0.0","44800.0","36400.0"
"10","1400","1400","0","586240.0","468640.0","302500.0","232500.0","0.0","0.0","0.0","0.0","0.0","0.0","36400.0","28000.0"
"10","1400","1400","0","468640.0","351040.0","232500.0","162500.0","0.0","0.0","0.0","0.0","0.0","0.0","28000.0","19600.0"
"10","1400","1400","0","351040.0","233440.0","162500.0","92500.0","0.0","0.0","0.0","0.0","0.0","0.0","19600.0","11200.0"
"10","1400","1400","0","233440.0","115840.0","92500.0","22500.0","0.0","0.0","0.0","0.0","0.0","0.0","11200.0","2800.0"
"10","1400","450","950","115840.0","78040.0","22500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2800.0","100.0"
"10","1500","0","1500","78040.0","78040.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","100.0"
"10","1500","1230","270","741640.0","562720.0","434000.0","372500.0","0.0","0.0","0.0","0.0","0.0","0.0","7380.0","0.0"
"10","1500","0","1500","562720.0","562720.0","372500.0","372500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","1500","0","1500","562720.0","562720.0","372500.0","372500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","1500","0","1500","562720.0","562720.0","372500.0","372500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","1500","0","1500","562720.0","562720.0","372500.0","372500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","1500","0","1500","562720.0","562720.0","372500.0","372500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","1600","0","1600","562720.0","562720.0","372500.0","372500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","1600","1600","0","1261680.0","992880.0","835000.0","675000.0","0.0","0.0","0.0","0.0","0.0","0.0","55400.0","45800.0"
"10","1600","1600","0","992880.0","724080.0","675000.0","515000.0","0.0","0.0","0.0","0.0","0.0","0.0","45800.0","36200.0"
"10","1600","1600","0","724080.0","455280.0","515000.0","355000.0","0.0","0.0","0.0","0.0","0.0","0.0","36200.0","26600.0"
"10","1600","1600","0","455280.0","186480.0","355000.0","195000.0","0.0","0.0","0.0","0.0","0.0","0.0","26600.0","17000.0"
"10","1600","1600","0","186480.0","38640.0","195000.0","67000.0","0.0","0.0","0.0","0.0","0.0","0.0","17000.0","7400.0"
"10","1600","460","1140","38640.0","0.0","67000.0","44000.0","0.0","0.0","0.0","0.0","0.0","0.0","7400.0","4640.0"
"10","1700","0","1700","0.0","0.0","44000.0","44000.0","0.0","0.0","0.0","0.0","0.0","0.0","4640.0","4640.0"
"10","1700","1700","0","310880.0","168080.0","191500.0","64000.0","0.0","0.0","0.0","0.0","0.0","0.0","67040.0","52760.0"
"10","1700","1280","420","168080.0","60560.0","64000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","52760.0","45080.0"
"10","1700","0","1700","60560.0","60560.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","45080.0","45080.0"
"10","1700","0","1700","60560.0","60560.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","45080.0","45080.0"
"10","1700","0","1700","60560.0","60560.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","45080.0","45080.0"
"10","1700","0","1700","60560.0","60560.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","45080.0","45080.0"
"10","1800","0","1800","60560.0","60560.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","45080.0","45080.0"
"10","1800","0","1800","60560.0","60560.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","45080.0","45080.0"
"10","1800","0","1800","60560.0","60560.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","45080.0","45080.0"
"10","1800","0","1800","60560.0","60560.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","45080.0","45080.0"
