"totalPaticipant","totalOrder","totalOrderAccept","totalOrderReject","WB","WB_after","Ham","Ham_after","Onion","Onion_after","Pickle","Pickle_after","Tuna","Tuna_after","Spread","Spread_after"
"0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","1000","1000","0","100000.0","16000.0","100000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","94000.0"
"10","1000","190","810","16000.0","40.0","50000.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","94000.0","92860.0"
"10","1000","0","1000","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"10","1000","0","1000","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"10","1000","0","1000","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"10","1000","0","1000","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"10","1000","0","1000","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"10","1300","1190","110","100040.0","80.0","140500.0","42000.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","85720.0"
"10","1300","0","1300","80.0","80.0","42000.0","42000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1300","0","1300","80.0","80.0","42000.0","42000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1300","0","1300","80.0","80.0","42000.0","42000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1300","0","1300","80.0","80.0","42000.0","42000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1000","0","1000","80.0","80.0","42000.0","42000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1000","0","1000","80.0","80.0","42000.0","42000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1000","0","1000","80.0","80.0","42000.0","42000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1000","0","1000","80.0","80.0","42000.0","42000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1000","0","1000","80.0","80.0","42000.0","42000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1000","0","1000","80.0","80.0","42000.0","42000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1000","0","1000","80.0","80.0","42000.0","42000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1000","0","1000","80.0","80.0","42000.0","42000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1000","0","1000","80.0","80.0","42000.0","42000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"10","1000","1000","0","714000.0","630000.0","425000.0","335000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","79720.0"
"10","1000","1000","0","630000.0","546000.0","335000.0","285000.0","0.0","0.0","0.0","0.0","0.0","0.0","79720.0","73720.0"
"10","1000","1000","0","546000.0","462000.0","285000.0","235000.0","0.0","0.0","0.0","0.0","0.0","0.0","73720.0","67720.0"
"10","1000","1000","0","462000.0","378000.0","235000.0","185000.0","0.0","0.0","0.0","0.0","0.0","0.0","67720.0","61720.0"
"10","1000","1000","0","378000.0","294000.0","185000.0","135000.0","0.0","0.0","0.0","0.0","0.0","0.0","61720.0","55720.0"
"10","1000","1000","0","294000.0","210000.0","135000.0","85000.0","0.0","0.0","0.0","0.0","0.0","0.0","55720.0","49720.0"
"10","1000","1000","0","210000.0","126000.0","85000.0","35000.0","0.0","0.0","0.0","0.0","0.0","0.0","49720.0","43720.0"
"10","1000","1000","0","713920.0","545920.0","343000.0","258000.0","0.0","0.0","0.0","0.0","0.0","0.0","43720.0","37720.0"
"10","1000","1000","0","545920.0","419920.0","258000.0","208000.0","0.0","0.0","0.0","0.0","0.0","0.0","37720.0","31720.0"
"10","1000","1000","0","419920.0","335920.0","208000.0","158000.0","0.0","0.0","0.0","0.0","0.0","0.0","31720.0","25720.0"
"10","1000","1000","0","335920.0","251920.0","158000.0","108000.0","0.0","0.0","0.0","0.0","0.0","0.0","25720.0","19720.0"
"10","1000","1000","0","251920.0","167920.0","108000.0","58000.0","0.0","0.0","0.0","0.0","0.0","0.0","19720.0","13720.0"
"10","1000","1000","0","167920.0","83920.0","58000.0","8000.0","0.0","0.0","0.0","0.0","0.0","0.0","13720.0","7720.0"
"10","1000","160","840","83920.0","70480.0","8000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7720.0","6760.0"
"10","1000","1000","0","364480.0","213280.0","215000.0","165000.0","0.0","0.0","0.0","0.0","0.0","0.0","6760.0","760.0"
"10","1000","126","874","213280.0","202696.0","165000.0","158700.0","0.0","0.0","0.0","0.0","0.0","0.0","760.0","4.0"
"10","1000","0","1000","202696.0","202696.0","158700.0","158700.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","4.0"
"10","1000","0","1000","202696.0","202696.0","158700.0","158700.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","4.0"
"10","1000","0","1000","202696.0","202696.0","158700.0","158700.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","4.0"
"10","1000","0","1000","202696.0","202696.0","158700.0","158700.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","4.0"
"10","1000","0","1000","202696.0","202696.0","158700.0","158700.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","4.0"
"10","1000","1000","0","622776.0","454776.0","450700.0","350700.0","0.0","0.0","0.0","0.0","0.0","0.0","28284.0","22284.0"
"10","1000","1000","0","454776.0","286776.0","350700.0","250700.0","0.0","0.0","0.0","0.0","0.0","0.0","22284.0","16284.0"
"10","1000","1000","0","286776.0","169176.0","250700.0","150700.0","0.0","0.0","0.0","0.0","0.0","0.0","16284.0","10284.0"
"10","1000","1000","0","169176.0","85176.0","150700.0","95700.0","0.0","0.0","0.0","0.0","0.0","0.0","10284.0","4284.0"
"10","1000","714","286","85176.0","25200.0","95700.0","60000.0","0.0","0.0","0.0","0.0","0.0","0.0","4284.0","0.0"
"10","1000","0","1000","25200.0","25200.0","60000.0","60000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","1000","0","1000","25200.0","25200.0","60000.0","60000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","1000","1000","0","410504.0","301304.0","251300.0","151300.0","0.0","0.0","0.0","0.0","0.0","0.0","41996.0","35996.0"
"10","1000","1000","0","301304.0","217304.0","151300.0","91300.0","0.0","0.0","0.0","0.0","0.0","0.0","35996.0","29996.0"
"10","1000","1000","0","217304.0","133304.0","91300.0","41300.0","0.0","0.0","0.0","0.0","0.0","0.0","29996.0","23996.0"
"10","1000","826","174","133304.0","63920.0","41300.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","23996.0","19040.0"
"10","1000","0","1000","63920.0","63920.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19040.0","19040.0"
"10","1000","0","1000","63920.0","63920.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19040.0","19040.0"
"10","1000","0","1000","63920.0","63920.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19040.0","19040.0"
"10","1000","1000","0","626720.0","483920.0","290000.0","240000.0","0.0","0.0","0.0","0.0","0.0","0.0","61040.0","49040.0"
"10","1000","1000","0","483920.0","399920.0","240000.0","190000.0","0.0","0.0","0.0","0.0","0.0","0.0","49040.0","37040.0"
"10","1000","1000","0","399920.0","315920.0","190000.0","140000.0","0.0","0.0","0.0","0.0","0.0","0.0","37040.0","25040.0"
