"totalPaticipant","totalOrder","totalOrderAccept","totalOrderReject","WB","WB_after","Ham","Ham_after","Onion","Onion_after","Pickle","Pickle_after","Tuna","Tuna_after","Spread","Spread_after"
"0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","500","500","0","100000.0","58000.0","100000.0","75000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","97000.0"
"5","500","500","0","58000.0","16000.0","75000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","97000.0","94000.0"
"5","500","190","310","16000.0","40.0","50000.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","94000.0","92860.0"
"5","500","0","500","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"5","500","0","500","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"5","500","0","500","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"5","500","0","500","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"5","500","500","0","100040.0","58040.0","140500.0","90500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","89860.0"
"5","500","500","0","58040.0","16040.0","90500.0","50500.0","0.0","0.0","0.0","0.0","0.0","0.0","89860.0","86860.0"
"5","500","190","310","16040.0","80.0","50500.0","41000.0","0.0","0.0","0.0","0.0","0.0","0.0","86860.0","85720.0"
"5","500","0","500","80.0","80.0","41000.0","41000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"5","500","0","500","80.0","80.0","41000.0","41000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"5","500","0","500","80.0","80.0","41000.0","41000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"5","500","0","500","80.0","80.0","41000.0","41000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"5","500","500","0","210040.0","168040.0","125500.0","75500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","82720.0"
"5","500","500","0","168040.0","126040.0","75500.0","35500.0","0.0","0.0","0.0","0.0","0.0","0.0","82720.0","79720.0"
"5","500","500","0","126040.0","84040.0","35500.0","10500.0","0.0","0.0","0.0","0.0","0.0","0.0","79720.0","76720.0"
"5","500","210","290","84040.0","66400.0","10500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","76720.0","75460.0"
"5","500","0","500","66400.0","66400.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75460.0","75460.0"
"5","500","0","500","66400.0","66400.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75460.0","75460.0"
