"totalPaticipant","totalOrder","totalOrderAccept","totalOrderReject","WB","WB_after","Ham","Ham_after","Onion","Onion_after","Pickle","Pickle_after","Tuna","Tuna_after","Spread","Spread_after"
"0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","500","500","0","100000.0","58000.0","100000.0","75000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","97000.0"
"5","500","500","0","58000.0","16000.0","75000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","97000.0","94000.0"
"5","500","190","310","16000.0","40.0","50000.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","94000.0","92860.0"
"5","500","0","500","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"5","500","0","500","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"5","500","0","500","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"5","550","0","550","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"5","550","550","0","100040.0","53840.0","140500.0","85500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","89560.0"
"5","550","550","0","53840.0","7640.0","85500.0","47000.0","0.0","0.0","0.0","0.0","0.0","0.0","89560.0","86260.0"
"5","550","90","460","7640.0","80.0","47000.0","42500.0","0.0","0.0","0.0","0.0","0.0","0.0","86260.0","85720.0"
"5","550","0","550","80.0","80.0","42500.0","42500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"5","550","0","550","80.0","80.0","42500.0","42500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"5","550","0","550","80.0","80.0","42500.0","42500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"5","600","0","600","80.0","80.0","42500.0","42500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"5","600","600","0","210040.0","159640.0","127000.0","67000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","82120.0"
"5","600","600","0","159640.0","109240.0","67000.0","25000.0","0.0","0.0","0.0","0.0","0.0","0.0","82120.0","78520.0"
"5","600","500","100","109240.0","67240.0","25000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","78520.0","75520.0"
"5","600","0","600","67240.0","67240.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75520.0","75520.0"
"5","600","0","600","67240.0","67240.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75520.0","75520.0"
"5","600","0","600","67240.0","67240.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75520.0","75520.0"
