"totalPaticipant","totalOrder","totalOrderAccept","totalOrderReject","WB","WB_after","Ham","Ham_after","Onion","Onion_after","Pickle","Pickle_after","Tuna","Tuna_after","Spread","Spread_after"
"0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","200","200","0","100000.0","83200.0","100000.0","90000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","98800.0"
"2","200","200","0","83200.0","66400.0","90000.0","80000.0","0.0","0.0","0.0","0.0","0.0","0.0","98800.0","97600.0"
"2","200","200","0","66400.0","49600.0","80000.0","70000.0","0.0","0.0","0.0","0.0","0.0","0.0","97600.0","96400.0"
"2","200","200","0","49600.0","32800.0","70000.0","60000.0","0.0","0.0","0.0","0.0","0.0","0.0","96400.0","95200.0"
"2","200","200","0","32800.0","16000.0","60000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","95200.0","94000.0"
"2","200","190","10","16000.0","40.0","50000.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","94000.0","92860.0"
"2","200","0","200","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"2","200","200","0","100040.0","83240.0","40500.0","30500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","91660.0"
"2","200","200","0","83240.0","66440.0","30500.0","20500.0","0.0","0.0","0.0","0.0","0.0","0.0","91660.0","90460.0"
"2","200","200","0","66440.0","49640.0","20500.0","10500.0","0.0","0.0","0.0","0.0","0.0","0.0","90460.0","89260.0"
"2","200","200","0","49640.0","32840.0","10500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","89260.0","88060.0"
"2","200","10","190","32840.0","32000.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88060.0","88000.0"
"2","200","0","200","32000.0","32000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","200","0","200","32000.0","32000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","200","0","200","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","200","0","200","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","200","0","200","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","200","0","200","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","200","0","200","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","200","0","200","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","200","0","200","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","200","200","0","185600.0","135200.0","70000.0","60000.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","86800.0"
"2","200","200","0","135200.0","100000.0","60000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","86800.0","85600.0"
"2","200","200","0","100000.0","66400.0","50000.0","40000.0","0.0","0.0","0.0","0.0","0.0","0.0","85600.0","84400.0"
"2","200","200","0","66400.0","32800.0","40000.0","30000.0","0.0","0.0","0.0","0.0","0.0","0.0","84400.0","83200.0"
"2","200","200","0","32800.0","16000.0","30000.0","20000.0","0.0","0.0","0.0","0.0","0.0","0.0","83200.0","82000.0"
"2","200","190","10","16000.0","40.0","20000.0","10500.0","0.0","0.0","0.0","0.0","0.0","0.0","82000.0","80860.0"
"2","200","0","200","40.0","40.0","10500.0","10500.0","0.0","0.0","0.0","0.0","0.0","0.0","80860.0","80860.0"
"2","200","200","0","17640.0","840.0","80500.0","60500.0","0.0","0.0","0.0","0.0","0.0","0.0","80860.0","79660.0"
"2","200","10","190","840.0","0.0","60500.0","59500.0","0.0","0.0","0.0","0.0","0.0","0.0","79660.0","79600.0"
"2","200","0","200","0.0","0.0","59500.0","59500.0","0.0","0.0","0.0","0.0","0.0","0.0","79600.0","79600.0"
"2","200","0","200","0.0","0.0","59500.0","59500.0","0.0","0.0","0.0","0.0","0.0","0.0","79600.0","79600.0"
"2","200","0","200","0.0","0.0","59500.0","59500.0","0.0","0.0","0.0","0.0","0.0","0.0","79600.0","79600.0"
"2","200","0","200","0.0","0.0","59500.0","59500.0","0.0","0.0","0.0","0.0","0.0","0.0","79600.0","79600.0"
"2","200","0","200","0.0","0.0","59500.0","59500.0","0.0","0.0","0.0","0.0","0.0","0.0","79600.0","79600.0"
"2","200","200","0","101600.0","84800.0","109500.0","89500.0","0.0","0.0","0.0","0.0","0.0","0.0","79600.0","78400.0"
"2","200","200","0","84800.0","68000.0","89500.0","69500.0","0.0","0.0","0.0","0.0","0.0","0.0","78400.0","77200.0"
"2","200","200","0","68000.0","51200.0","69500.0","49500.0","0.0","0.0","0.0","0.0","0.0","0.0","77200.0","76000.0"
"2","200","200","0","51200.0","34400.0","49500.0","29500.0","0.0","0.0","0.0","0.0","0.0","0.0","76000.0","74800.0"
"2","200","200","0","34400.0","17600.0","29500.0","9500.0","0.0","0.0","0.0","0.0","0.0","0.0","74800.0","73600.0"
"2","200","190","10","17600.0","1640.0","9500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","73600.0","72460.0"
"2","200","0","200","1640.0","1640.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","72460.0","72460.0"
"2","200","200","0","119240.0","102440.0","10500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","72460.0","71260.0"
"2","200","10","190","102440.0","101600.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","71260.0","71200.0"
"2","200","0","200","101600.0","101600.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","71200.0","71200.0"
"2","200","0","200","101600.0","101600.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","71200.0","71200.0"
"2","200","0","200","101600.0","101600.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","71200.0","71200.0"
"2","200","0","200","101600.0","101600.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","71200.0","71200.0"
"2","200","0","200","101600.0","101600.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","71200.0","71200.0"
"2","200","200","0","201600.0","168000.0","60500.0","50500.0","0.0","0.0","0.0","0.0","0.0","0.0","71200.0","70000.0"
"2","200","200","0","168000.0","134400.0","50500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","70000.0","68800.0"
"2","200","200","0","134400.0","100800.0","40500.0","30500.0","0.0","0.0","0.0","0.0","0.0","0.0","68800.0","67600.0"
"2","200","200","0","100800.0","67200.0","30500.0","20500.0","0.0","0.0","0.0","0.0","0.0","0.0","67600.0","66400.0"
"2","200","200","0","67200.0","33600.0","20500.0","10500.0","0.0","0.0","0.0","0.0","0.0","0.0","66400.0","65200.0"
"2","200","200","0","33600.0","800.0","10500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","65200.0","64000.0"
"2","200","9","191","800.0","44.0","500.0","50.0","0.0","0.0","0.0","0.0","0.0","0.0","64000.0","63946.0"
"2","200","191","9","16044.0","0.0","70050.0","60500.0","0.0","0.0","0.0","0.0","0.0","0.0","63946.0","62800.0"
"2","200","0","200","0.0","0.0","60500.0","60500.0","0.0","0.0","0.0","0.0","0.0","0.0","62800.0","62800.0"
"2","200","0","200","0.0","0.0","60500.0","60500.0","0.0","0.0","0.0","0.0","0.0","0.0","62800.0","62800.0"
