"totalPaticipant","totalOrder","totalOrderAccept","totalOrderReject","WB","WB_after","Ham","Ham_after","Onion","Onion_after","Pickle","Pickle_after","Tuna","Tuna_after","Spread","Spread_after"
"0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","200","200","0","100000.0","83200.0","100000.0","90000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","98800.0"
"2","200","200","0","83200.0","66400.0","90000.0","80000.0","0.0","0.0","0.0","0.0","0.0","0.0","98800.0","97600.0"
"2","200","200","0","66400.0","49600.0","80000.0","70000.0","0.0","0.0","0.0","0.0","0.0","0.0","97600.0","96400.0"
"2","200","200","0","49600.0","32800.0","70000.0","60000.0","0.0","0.0","0.0","0.0","0.0","0.0","96400.0","95200.0"
"2","200","200","0","32800.0","16000.0","60000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","95200.0","94000.0"
"2","200","190","10","16000.0","40.0","50000.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","94000.0","92860.0"
"2","180","0","180","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"2","180","180","0","100040.0","84920.0","40500.0","31500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","91780.0"
"2","180","180","0","84920.0","69800.0","31500.0","22500.0","0.0","0.0","0.0","0.0","0.0","0.0","91780.0","90700.0"
"2","180","180","0","69800.0","54680.0","22500.0","13500.0","0.0","0.0","0.0","0.0","0.0","0.0","90700.0","89620.0"
"2","180","180","0","54680.0","39560.0","13500.0","4500.0","0.0","0.0","0.0","0.0","0.0","0.0","89620.0","88540.0"
"2","180","90","90","39560.0","32000.0","4500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88540.0","88000.0"
"2","180","0","180","32000.0","32000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","160","0","160","32000.0","32000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","160","0","160","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","160","0","160","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","160","0","160","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","160","0","160","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","160","0","160","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","160","0","160","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","140","0","140","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","140","140","0","100000.0","76480.0","64000.0","57000.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","87160.0"
"2","140","140","0","76480.0","52960.0","57000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","87160.0","86320.0"
"2","140","140","0","52960.0","35320.0","50000.0","43000.0","0.0","0.0","0.0","0.0","0.0","0.0","86320.0","85480.0"
"2","140","140","0","35320.0","23560.0","43000.0","36000.0","0.0","0.0","0.0","0.0","0.0","0.0","85480.0","84640.0"
"2","140","140","0","23560.0","11800.0","36000.0","29000.0","0.0","0.0","0.0","0.0","0.0","0.0","84640.0","83800.0"
"2","140","140","0","11800.0","40.0","29000.0","22000.0","0.0","0.0","0.0","0.0","0.0","0.0","83800.0","82960.0"
"2","120","0","120","40.0","40.0","22000.0","22000.0","0.0","0.0","0.0","0.0","0.0","0.0","82960.0","82960.0"
"2","120","0","120","40.0","40.0","79000.0","79000.0","0.0","0.0","0.0","0.0","0.0","0.0","82960.0","82960.0"
"2","120","0","120","40.0","40.0","79000.0","79000.0","0.0","0.0","0.0","0.0","0.0","0.0","82960.0","82960.0"
"2","120","0","120","40.0","40.0","79000.0","79000.0","0.0","0.0","0.0","0.0","0.0","0.0","82960.0","82960.0"
"2","120","0","120","40.0","40.0","79000.0","79000.0","0.0","0.0","0.0","0.0","0.0","0.0","82960.0","82960.0"
"2","120","0","120","40.0","40.0","79000.0","79000.0","0.0","0.0","0.0","0.0","0.0","0.0","82960.0","82960.0"
"2","120","0","120","40.0","40.0","79000.0","79000.0","0.0","0.0","0.0","0.0","0.0","0.0","82960.0","82960.0"
"2","100","0","100","40.0","40.0","79000.0","79000.0","0.0","0.0","0.0","0.0","0.0","0.0","82960.0","82960.0"
"2","100","100","0","72240.0","63840.0","79000.0","69000.0","0.0","0.0","0.0","0.0","0.0","0.0","82960.0","82360.0"
"2","100","100","0","63840.0","55440.0","69000.0","59000.0","0.0","0.0","0.0","0.0","0.0","0.0","82360.0","81760.0"
"2","100","100","0","55440.0","47040.0","59000.0","49000.0","0.0","0.0","0.0","0.0","0.0","0.0","81760.0","81160.0"
"2","100","100","0","47040.0","38640.0","49000.0","39000.0","0.0","0.0","0.0","0.0","0.0","0.0","81160.0","80560.0"
"2","100","100","0","38640.0","30240.0","39000.0","34000.0","0.0","0.0","0.0","0.0","0.0","0.0","80560.0","79960.0"
"2","100","100","0","30240.0","21840.0","34000.0","29000.0","0.0","0.0","0.0","0.0","0.0","0.0","79960.0","79360.0"
"2","200","200","0","21840.0","5040.0","29000.0","19000.0","0.0","0.0","0.0","0.0","0.0","0.0","79360.0","78160.0"
"2","200","200","0","77240.0","60440.0","19000.0","9000.0","0.0","0.0","0.0","0.0","0.0","0.0","78160.0","76960.0"
"2","200","180","20","60440.0","45320.0","9000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","76960.0","75880.0"
"2","200","0","200","45320.0","45320.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75880.0","75880.0"
"2","200","0","200","45320.0","45320.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75880.0","75880.0"
"2","200","0","200","45320.0","45320.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75880.0","75880.0"
"2","200","0","200","45320.0","45320.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75880.0","75880.0"
"2","180","0","180","45320.0","45320.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75880.0","75880.0"
"2","180","40","140","75560.0","68840.0","2000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75880.0","75640.0"
"2","180","0","180","68840.0","68840.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75640.0","75640.0"
"2","180","0","180","68840.0","68840.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75640.0","75640.0"
"2","180","0","180","68840.0","68840.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75640.0","75640.0"
"2","180","0","180","68840.0","68840.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75640.0","75640.0"
"2","180","0","180","68840.0","68840.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75640.0","75640.0"
"2","160","0","160","68840.0","68840.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75640.0","75640.0"
"2","160","160","0","132720.0","92400.0","65000.0","57000.0","0.0","0.0","0.0","0.0","0.0","0.0","75640.0","74680.0"
"2","160","160","0","92400.0","52080.0","57000.0","49000.0","0.0","0.0","0.0","0.0","0.0","0.0","74680.0","73720.0"
"2","160","160","0","52080.0","25200.0","49000.0","41000.0","0.0","0.0","0.0","0.0","0.0","0.0","73720.0","72760.0"
