"totalPaticipant","totalOrder","totalOrderAccept","totalOrderReject","WB","WB_after","Ham","Ham_after","Onion","Onion_after","Pickle","Pickle_after","Tuna","Tuna_after","Spread","Spread_after"
"0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","200","200","0","100000.0","83200.0","100000.0","90000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","98800.0"
"2","200","200","0","83200.0","66400.0","90000.0","80000.0","0.0","0.0","0.0","0.0","0.0","0.0","98800.0","97600.0"
"2","200","200","0","66400.0","49600.0","80000.0","70000.0","0.0","0.0","0.0","0.0","0.0","0.0","97600.0","96400.0"
"2","200","200","0","49600.0","32800.0","70000.0","60000.0","0.0","0.0","0.0","0.0","0.0","0.0","96400.0","95200.0"
"2","200","200","0","32800.0","16000.0","60000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","95200.0","94000.0"
"2","200","190","10","16000.0","40.0","50000.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","94000.0","92860.0"
"2","220","0","220","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"2","220","220","0","100040.0","81560.0","40500.0","29500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","91540.0"
"2","220","220","0","81560.0","63080.0","29500.0","18500.0","0.0","0.0","0.0","0.0","0.0","0.0","91540.0","90220.0"
"2","220","220","0","63080.0","44600.0","18500.0","7500.0","0.0","0.0","0.0","0.0","0.0","0.0","90220.0","88900.0"
"2","220","150","70","44600.0","32000.0","7500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88900.0","88000.0"
"2","220","0","220","32000.0","32000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","220","0","220","32000.0","32000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","240","0","240","32000.0","32000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","240","0","240","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","240","0","240","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","240","0","240","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","240","0","240","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","240","0","240","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","240","0","240","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","260","0","260","100000.0","100000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","88000.0"
"2","260","260","0","195680.0","130160.0","76000.0","63000.0","0.0","0.0","0.0","0.0","0.0","0.0","88000.0","86440.0"
"2","260","260","0","130160.0","96640.0","63000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","86440.0","84880.0"
"2","260","260","0","96640.0","52960.0","50000.0","37000.0","0.0","0.0","0.0","0.0","0.0","0.0","84880.0","83320.0"
"2","260","260","0","52960.0","20200.0","37000.0","24000.0","0.0","0.0","0.0","0.0","0.0","0.0","83320.0","81760.0"
"2","260","240","20","20200.0","40.0","24000.0","12000.0","0.0","0.0","0.0","0.0","0.0","0.0","81760.0","80320.0"
"2","260","0","260","40.0","40.0","12000.0","12000.0","0.0","0.0","0.0","0.0","0.0","0.0","80320.0","80320.0"
"2","280","0","280","40.0","40.0","12000.0","12000.0","0.0","0.0","0.0","0.0","0.0","0.0","80320.0","80320.0"
"2","280","280","0","39480.0","15960.0","95000.0","74000.0","0.0","0.0","0.0","0.0","0.0","0.0","80320.0","78640.0"
"2","280","190","90","15960.0","0.0","74000.0","64500.0","0.0","0.0","0.0","0.0","0.0","0.0","78640.0","77500.0"
"2","280","0","280","0.0","0.0","64500.0","64500.0","0.0","0.0","0.0","0.0","0.0","0.0","77500.0","77500.0"
"2","280","0","280","0.0","0.0","64500.0","64500.0","0.0","0.0","0.0","0.0","0.0","0.0","77500.0","77500.0"
"2","280","0","280","0.0","0.0","64500.0","64500.0","0.0","0.0","0.0","0.0","0.0","0.0","77500.0","77500.0"
"2","280","0","280","0.0","0.0","64500.0","64500.0","0.0","0.0","0.0","0.0","0.0","0.0","77500.0","77500.0"
"2","300","0","300","0.0","0.0","64500.0","64500.0","0.0","0.0","0.0","0.0","0.0","0.0","77500.0","77500.0"
"2","300","300","0","151160.0","125960.0","142500.0","112500.0","0.0","0.0","0.0","0.0","0.0","0.0","77500.0","75700.0"
"2","300","300","0","125960.0","100760.0","112500.0","82500.0","0.0","0.0","0.0","0.0","0.0","0.0","75700.0","73900.0"
"2","300","300","0","100760.0","75560.0","82500.0","52500.0","0.0","0.0","0.0","0.0","0.0","0.0","73900.0","72100.0"
"2","300","300","0","75560.0","50360.0","52500.0","22500.0","0.0","0.0","0.0","0.0","0.0","0.0","72100.0","70300.0"
"2","300","300","0","50360.0","25160.0","22500.0","7500.0","0.0","0.0","0.0","0.0","0.0","0.0","70300.0","68500.0"
"2","300","150","150","25160.0","12560.0","7500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","68500.0","67600.0"
"2","320","0","320","12560.0","12560.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","67600.0","67600.0"
"2","320","320","0","175520.0","148640.0","32500.0","16500.0","0.0","0.0","0.0","0.0","0.0","0.0","67600.0","65680.0"
"2","320","320","0","148640.0","121760.0","16500.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","65680.0","63760.0"
"2","320","10","310","121760.0","120920.0","500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","63760.0","63700.0"
"2","320","0","320","120920.0","120920.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","63700.0","63700.0"
"2","320","0","320","120920.0","120920.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","63700.0","63700.0"
"2","320","0","320","120920.0","120920.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","63700.0","63700.0"
"2","340","0","340","120920.0","120920.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","63700.0","63700.0"
"2","340","340","0","270480.0","213360.0","96500.0","79500.0","0.0","0.0","0.0","0.0","0.0","0.0","63700.0","61660.0"
"2","340","340","0","213360.0","156240.0","79500.0","62500.0","0.0","0.0","0.0","0.0","0.0","0.0","61660.0","59620.0"
"2","340","340","0","156240.0","99120.0","62500.0","45500.0","0.0","0.0","0.0","0.0","0.0","0.0","59620.0","57580.0"
"2","340","340","0","99120.0","42000.0","45500.0","28500.0","0.0","0.0","0.0","0.0","0.0","0.0","57580.0","55540.0"
"2","340","340","0","42000.0","13440.0","28500.0","11500.0","0.0","0.0","0.0","0.0","0.0","0.0","55540.0","53500.0"
"2","340","160","180","13440.0","0.0","11500.0","3500.0","0.0","0.0","0.0","0.0","0.0","0.0","53500.0","52540.0"
"2","360","0","360","0.0","0.0","3500.0","3500.0","0.0","0.0","0.0","0.0","0.0","0.0","52540.0","52540.0"
"2","360","360","0","65560.0","35320.0","114500.0","96500.0","0.0","0.0","0.0","0.0","0.0","0.0","52540.0","50380.0"
"2","360","360","0","35320.0","5080.0","96500.0","78500.0","0.0","0.0","0.0","0.0","0.0","0.0","50380.0","48220.0"
"2","360","60","300","5080.0","40.0","78500.0","75500.0","0.0","0.0","0.0","0.0","0.0","0.0","48220.0","47860.0"
